,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost
normalized_14_DasPostExp_8_rpr.pdb,12.52,1.164991016988637e-07,0.712,0.9,0.316,0.695,17.574,22.01,0.297,0.393,0.213,0.328,0.426,0.607,0.763,-27218.0,288361.0,-0.094,0.0,1.261,1.163,1.573,-45246.993,-6132.324,0.633,0.293
normalized_14_DasPreExp_3_rpr.pdb,12.52,1.164991016988637e-07,0.712,0.9,0.316,0.695,17.574,22.01,0.297,0.393,0.213,0.328,0.426,0.607,0.763,-27218.0,288361.0,-0.094,0.0,1.261,1.163,1.573,-45246.993,-6132.324,0.633,0.293
normalized_14_DingPostExp_9_rpr.pdb,12.705,2.0116386495461214e-07,0.671,0.97,0.0,0.647,18.929,25.83,0.253,0.307,0.164,0.262,0.311,0.492,0.677,-23888.1,281347.0,-0.085,0.0,1.346,1.476,0.987,-41159.352,-5020.216,0.523,0.307
normalized_14_BujnickiPostExp_4_rpr.pdb,12.867,3.2145777367764694e-07,0.624,0.868,0.354,0.563,20.634,24.79,0.185,0.254,0.147,0.197,0.246,0.426,0.638,-21462.4,319424.0,-0.067,0.0,1.335,1.52,1.504,-43581.316,-5594.65,0.46,0.199
normalized_14_DasPostExp_4_rpr.pdb,12.879,3.319269206158993e-07,0.806,0.868,0.791,0.787,15.987,21.11,0.267,0.348,0.18,0.295,0.41,0.508,0.76,-28738.8,323181.0,-0.089,0.0,1.338,1.153,1.501,-47679.679,-7517.834,0.676,0.265
normalized_14_DingPostExp_5_rpr.pdb,12.989,4.546491239598716e-07,0.687,0.941,0.0,0.671,18.911,22.46,0.175,0.242,0.098,0.18,0.262,0.426,0.677,-20776.4,294505.0,-0.071,0.0,1.37,1.592,1.059,-41655.803,-4045.958,0.463,0.219
normalized_14_DingPreExp_2_rpr.pdb,13.022,4.997674856177525e-07,0.667,0.97,0.0,0.632,19.511,23.58,0.225,0.291,0.164,0.23,0.295,0.475,0.687,-24280.9,297362.0,-0.082,0.0,1.375,1.573,1.109,-43325.163,-5302.791,0.483,0.242
normalized_14_DingPreExp_3_rpr.pdb,13.195,8.103286139871102e-07,0.722,1.0,0.0,0.69,18.284,21.43,0.254,0.316,0.147,0.262,0.361,0.492,0.703,-23658.9,292752.0,-0.081,0.0,1.385,1.48,1.04,-43807.952,-5046.934,0.528,0.293
normalized_14_DingPreExp_1_rpr.pdb,13.92,5.582918803925807e-06,0.667,0.97,0.0,0.65,20.856,25.21,0.23,0.316,0.131,0.246,0.328,0.557,0.67,-23317.7,285145.0,-0.082,0.0,1.454,1.52,1.181,-42206.294,-5300.426,0.549,0.264
normalized_14_BujnickiPostExp_2_rpr.pdb,13.998,6.821190576655756e-06,0.643,0.868,0.204,0.609,21.766,24.17,0.231,0.336,0.131,0.23,0.393,0.59,0.654,-22999.6,249704.0,-0.092,0.0,1.42,1.541,1.305,-38771.203,-4267.626,0.522,0.231
normalized_14_DasPostExp_3_rpr.pdb,14.029,7.374225173273352e-06,0.755,0.868,0.668,0.726,18.575,21.13,0.291,0.357,0.23,0.344,0.393,0.459,0.744,-27063.3,322767.0,-0.084,0.0,1.474,1.281,1.475,-46645.028,-6711.909,0.633,0.29
normalized_14_DasPostExp_1_rpr.pdb,14.037,7.528069226325762e-06,0.752,0.868,0.668,0.72,18.668,21.12,0.299,0.352,0.213,0.361,0.393,0.443,0.743,-25837.5,309390.0,-0.084,0.0,1.495,1.258,1.508,-45765.189,-6496.562,0.646,0.298
normalized_14_BujnickiPostExp_1_rpr.pdb,14.088,8.542076407380694e-06,0.763,0.97,0.612,0.712,18.456,21.34,0.315,0.393,0.262,0.311,0.41,0.59,0.74,-21088.0,271443.0,-0.078,0.0,1.461,1.236,1.158,-39727.468,-4474.029,0.582,0.314
normalized_14_DingPostExp_3_rpr.pdb,14.255,1.2929303277453563e-05,0.736,0.89,0.0,0.747,19.356,23.79,0.23,0.303,0.164,0.246,0.328,0.475,0.687,-24416.4,280434.0,-0.087,0.0,1.554,1.451,1.053,-42110.19,-4562.461,0.532,0.265
normalized_14_DingPreExp_7_rpr.pdb,14.501,2.3452054385419974e-05,0.696,0.941,0.0,0.686,20.831,24.3,0.226,0.307,0.131,0.23,0.344,0.525,0.663,-21140.3,288058.0,-0.073,0.0,1.538,1.561,0.989,-41199.451,-5011.974,0.487,0.271
normalized_14_AdamiakPostExp_2_rpr.pdb,14.589,2.8908614859102236e-05,0.782,0.97,0.5,0.746,18.644,18.87,0.248,0.324,0.164,0.262,0.344,0.525,0.732,-20853.7,235827.0,-0.088,0.0,1.528,1.144,1.108,-35438.669,-4731.267,0.566,0.262
normalized_14_DingPreExp_4_rpr.pdb,14.653,3.360930893686609e-05,0.642,0.97,0.0,0.6,22.842,22.54,0.211,0.303,0.115,0.23,0.328,0.541,0.661,-20466.0,264284.0,-0.077,0.0,1.57,1.56,0.999,-38975.399,-4371.921,0.481,0.261
